code,COUNTY,TOTAL,MALE,FEMALE,INTERSEX,VOTERS
30,Baringo,666763,336322,330428,13,232258
36,Bomet,875689,434287,441379,23,322012
39,Bungoma,1670570,812146,858389,35,559850
40,Busia,893681,426252,467401,28,351048
28,Elgeyo-Marakwet,454480,227317,227151,12,180664
14,Embu,608599,304208,304367,24,309468
7,Garissa,841353,458975,382444,34,163350
43,Homa Bay,1131950,539560,592367,23,476875
11,Isiolo,268002,139510,128483,9,75338
34,Kajiado,1117840,557098,560704,38,411193
37,Kakamega,1867579,897133,970406,40,743736
35,Kericho,901777,450741,451008,28,375668
22,Kiambu,2417735,1187146,1230454,135,1180920
3,Kilifi,1453787,704089,749673,25,508068
20,Kirinyaga,610411,302011,308369,31,349836
45,Kisii,1266860,605784,661038,38,456580
42,Kisumu,1155574,560942,594609,23,539210
15,Kitui,1136187,549003,587151,33,474512
2,Kwale,866820,425121,441681,18,281041
31,Laikipia,518560,259440,259102,18,246487
5,Lamu,143920,76103,67813,4,69776
16,Machakos,1421932,710707,711191,34,620254
17,Makueni,987653,489691,497942,20,423310
9,Mandera,867457,434976,432444,37,175642
10,Marsabit,459785,243548,216219,18,141708
12,Meru,1545714,767698,777975,41,702480
44,Migori,1116436,536187,580214,35,388633
1,Mombasa,1208333,610257,598046,30,580223
21,Murang'a,1056640,523940,532669,31,587126
47,Nairobi,4397073,2192452,2204376,245,2250853
32,Nakuru,2162202,1077272,1084835,95,949618
29,Nandi,885711,441259,444430,22,346007
33,Narok,1157873,579042,578805,26,341730
46,Nyamira,605576,290907,314656,13,278853
18,Nyandarua,638289,315022,323247,20,335634
19,Nyeri,759164,374288,384845,31,456949
25,Samburu,310327,156774,153546,7,82787
41,Siaya,993183,471669,521496,18,457953
6,Taita-Taveta,340671,173337,167327,7,155716
4,Tana River,315943,158550,157391,2,118327
13,Tharaka-Nithi,393177,193764,199406,7,213154
26,Trans Nzoia,990341,489107,501206,28,339622
23,Turkana,926976,478087,448868,21,191435
27,Uasin Gishu,1163186,580269,582889,28,450055
38,Vihiga,590013,283678,306323,12,272409
8,Wajir,781263,415374,365840,49,162902
24,West Pokot,621241,307013,314213,15,180232
